url,title,paragraph,heading_count,link_count,table_count,html_source
https://books.toscrape.com/,All products | Books to Scrape - Sandbox,Â£51.77,21,74,0,storage\raw_html\3bcb5d5b-b012-4696-b037-024b2e054fc9.html
https://books.toscrape.com/,All products | Books to Scrape - Sandbox,In stock,21,74,0,storage\raw_html\3bcb5d5b-b012-4696-b037-024b2e054fc9.html
https://books.toscrape.com/,All products | Books to Scrape - Sandbox,Â£53.74,21,74,0,storage\raw_html\3bcb5d5b-b012-4696-b037-024b2e054fc9.html
https://books.toscrape.com/,All products | Books to Scrape - Sandbox,In stock,21,74,0,storage\raw_html\3bcb5d5b-b012-4696-b037-024b2e054fc9.html
https://books.toscrape.com/,All products | Books to Scrape - Sandbox,Â£50.10,21,74,0,storage\raw_html\3bcb5d5b-b012-4696-b037-024b2e054fc9.html
https://books.toscrape.com/,All products | Books to Scrape - Sandbox,In stock,21,74,0,storage\raw_html\3bcb5d5b-b012-4696-b037-024b2e054fc9.html
https://books.toscrape.com/,All products | Books to Scrape - Sandbox,Â£47.82,21,74,0,storage\raw_html\3bcb5d5b-b012-4696-b037-024b2e054fc9.html
https://books.toscrape.com/,All products | Books to Scrape - Sandbox,In stock,21,74,0,storage\raw_html\3bcb5d5b-b012-4696-b037-024b2e054fc9.html
https://books.toscrape.com/,All products | Books to Scrape - Sandbox,Â£54.23,21,74,0,storage\raw_html\3bcb5d5b-b012-4696-b037-024b2e054fc9.html
https://books.toscrape.com/,All products | Books to Scrape - Sandbox,In stock,21,74,0,storage\raw_html\3bcb5d5b-b012-4696-b037-024b2e054fc9.html
https://books.toscrape.com/,All products | Books to Scrape - Sandbox,Â£22.65,21,74,0,storage\raw_html\3bcb5d5b-b012-4696-b037-024b2e054fc9.html
https://books.toscrape.com/,All products | Books to Scrape - Sandbox,In stock,21,74,0,storage\raw_html\3bcb5d5b-b012-4696-b037-024b2e054fc9.html
https://books.toscrape.com/,All products | Books to Scrape - Sandbox,Â£33.34,21,74,0,storage\raw_html\3bcb5d5b-b012-4696-b037-024b2e054fc9.html
https://books.toscrape.com/,All products | Books to Scrape - Sandbox,In stock,21,74,0,storage\raw_html\3bcb5d5b-b012-4696-b037-024b2e054fc9.html
https://books.toscrape.com/,All products | Books to Scrape - Sandbox,Â£17.93,21,74,0,storage\raw_html\3bcb5d5b-b012-4696-b037-024b2e054fc9.html
https://books.toscrape.com/,All products | Books to Scrape - Sandbox,In stock,21,74,0,storage\raw_html\3bcb5d5b-b012-4696-b037-024b2e054fc9.html
https://books.toscrape.com/,All products | Books to Scrape - Sandbox,Â£22.60,21,74,0,storage\raw_html\3bcb5d5b-b012-4696-b037-024b2e054fc9.html
https://books.toscrape.com/,All products | Books to Scrape - Sandbox,In stock,21,74,0,storage\raw_html\3bcb5d5b-b012-4696-b037-024b2e054fc9.html
https://books.toscrape.com/,All products | Books to Scrape - Sandbox,Â£52.15,21,74,0,storage\raw_html\3bcb5d5b-b012-4696-b037-024b2e054fc9.html
https://books.toscrape.com/,All products | Books to Scrape - Sandbox,In stock,21,74,0,storage\raw_html\3bcb5d5b-b012-4696-b037-024b2e054fc9.html
https://books.toscrape.com/,All products | Books to Scrape - Sandbox,Â£13.99,21,74,0,storage\raw_html\3bcb5d5b-b012-4696-b037-024b2e054fc9.html
https://books.toscrape.com/,All products | Books to Scrape - Sandbox,In stock,21,74,0,storage\raw_html\3bcb5d5b-b012-4696-b037-024b2e054fc9.html
https://books.toscrape.com/,All products | Books to Scrape - Sandbox,Â£20.66,21,74,0,storage\raw_html\3bcb5d5b-b012-4696-b037-024b2e054fc9.html
https://books.toscrape.com/,All products | Books to Scrape - Sandbox,In stock,21,74,0,storage\raw_html\3bcb5d5b-b012-4696-b037-024b2e054fc9.html
https://books.toscrape.com/,All products | Books to Scrape - Sandbox,Â£17.46,21,74,0,storage\raw_html\3bcb5d5b-b012-4696-b037-024b2e054fc9.html
https://books.toscrape.com/,All products | Books to Scrape - Sandbox,In stock,21,74,0,storage\raw_html\3bcb5d5b-b012-4696-b037-024b2e054fc9.html
https://books.toscrape.com/,All products | Books to Scrape - Sandbox,Â£52.29,21,74,0,storage\raw_html\3bcb5d5b-b012-4696-b037-024b2e054fc9.html
https://books.toscrape.com/,All products | Books to Scrape - Sandbox,In stock,21,74,0,storage\raw_html\3bcb5d5b-b012-4696-b037-024b2e054fc9.html
https://books.toscrape.com/,All products | Books to Scrape - Sandbox,Â£35.02,21,74,0,storage\raw_html\3bcb5d5b-b012-4696-b037-024b2e054fc9.html
https://books.toscrape.com/,All products | Books to Scrape - Sandbox,In stock,21,74,0,storage\raw_html\3bcb5d5b-b012-4696-b037-024b2e054fc9.html
https://books.toscrape.com/,All products | Books to Scrape - Sandbox,Â£57.25,21,74,0,storage\raw_html\3bcb5d5b-b012-4696-b037-024b2e054fc9.html
https://books.toscrape.com/,All products | Books to Scrape - Sandbox,In stock,21,74,0,storage\raw_html\3bcb5d5b-b012-4696-b037-024b2e054fc9.html
https://books.toscrape.com/,All products | Books to Scrape - Sandbox,Â£23.88,21,74,0,storage\raw_html\3bcb5d5b-b012-4696-b037-024b2e054fc9.html
https://books.toscrape.com/,All products | Books to Scrape - Sandbox,In stock,21,74,0,storage\raw_html\3bcb5d5b-b012-4696-b037-024b2e054fc9.html
https://books.toscrape.com/,All products | Books to Scrape - Sandbox,Â£37.59,21,74,0,storage\raw_html\3bcb5d5b-b012-4696-b037-024b2e054fc9.html
https://books.toscrape.com/,All products | Books to Scrape - Sandbox,In stock,21,74,0,storage\raw_html\3bcb5d5b-b012-4696-b037-024b2e054fc9.html
https://books.toscrape.com/,All products | Books to Scrape - Sandbox,Â£51.33,21,74,0,storage\raw_html\3bcb5d5b-b012-4696-b037-024b2e054fc9.html
https://books.toscrape.com/,All products | Books to Scrape - Sandbox,In stock,21,74,0,storage\raw_html\3bcb5d5b-b012-4696-b037-024b2e054fc9.html
https://books.toscrape.com/,All products | Books to Scrape - Sandbox,Â£45.17,21,74,0,storage\raw_html\3bcb5d5b-b012-4696-b037-024b2e054fc9.html
https://books.toscrape.com/,All products | Books to Scrape - Sandbox,In stock,21,74,0,storage\raw_html\3bcb5d5b-b012-4696-b037-024b2e054fc9.html
