url,title,paragraph,heading_count,link_count,table_count,html_source
https://en.wikipedia.org/wiki/machine_learning,machine learning - wikipedia,"machine learning(ml) is a field of study inartificial intelligenceconcerned with the development and study ofstatistical algorithmsthat can learn fromdataandgeneralizeto unseen data, and thus performtaskswithout being explicitlyprogrammed.[1]advances in the field ofdeep learninghave allowedneural networks, a class of statistical algorithms, to surpass many previous machine learning approaches in performance.",53,2662,7,storage\raw_html\ca8fa95c-7c47-4fcb-8738-1c539170e68f.html
https://en.wikipedia.org/wiki/machine_learning,machine learning - wikipedia,"statisticsandmathematical optimisationmethods compose the foundations of machine learning.data miningis a related field of study, focusing onexploratory data analysis(eda) throughunsupervised learning.[3][4]",53,2662,7,storage\raw_html\ca8fa95c-7c47-4fcb-8738-1c539170e68f.html
https://en.wikipedia.org/wiki/machine_learning,machine learning - wikipedia,"from a theoretical viewpoint,probably approximately correct learningprovides a mathematical and statistical framework for describing machine learning. most traditional machine learning and deep learning algorithms can be described asempirical risk minimisationunder this framework.",53,2662,7,storage\raw_html\ca8fa95c-7c47-4fcb-8738-1c539170e68f.html
https://en.wikipedia.org/wiki/machine_learning,machine learning - wikipedia,"the termmachine learningwas coined in 1959 byarthur samuel, anibmemployee and pioneer in the field ofcomputer gamingandartificial intelligence.[5][6]the synonymself-teaching computerswas also used during this time period.[7][8]",53,2662,7,storage\raw_html\ca8fa95c-7c47-4fcb-8738-1c539170e68f.html
https://en.wikipedia.org/wiki/machine_learning,machine learning - wikipedia,"the earliest machine learning program was introduced in the 1950s, when samuel invented acomputer programthat calculated the chance of winning incheckersfor each side, but the history of machine learning is rooted in decades of efforts to study human cognitive processes.[9]in 1949, canadian psychologistdonald hebbpublished the bookthe organization of behavior, in which he introduced a theoretical neural structure formed by certain interactions amongnerve cells.[10]thehebbian theoryofneuroninteraction set the groundwork for how many machine learning algorithms work, with connectedartificial neuronschanging the strength of their connections based on data.[9]other researchers who have studied humancognitive systemscontributed to the modern machine learning technologies as well, includingwalter pittsandwarren mcculloch, who proposed the first mathematical model of neural networks includingalgorithmsthat mirror human thought processes.[9][verification needed]",53,2662,7,storage\raw_html\ca8fa95c-7c47-4fcb-8738-1c539170e68f.html
https://en.wikipedia.org/wiki/machine_learning,machine learning - wikipedia,"by the early 1960s, an experimental ""learning machine"" withpunched tapememory, called cybertron, had been developed byraytheon companyto analysesonarsignals,electrocardiograms, and speech patterns using rudimentaryreinforcement learning. it was repetitively ""trained"" by a human operator/teacher to recognise patterns and equipped with a ""goof"" button to cause it to reevaluate incorrect decisions.[11][importance?]a representative book[citation needed]on research into machine learning during the 1960s wasnils nilsson's book ""learning machines"", dealing mostly with machine learning for patternclassification.[12]interest related topattern recognitioncontinued into the 1970s, as described by duda and hart in 1973.[13]in 1981, a report was given on using teaching strategies so that anartificial neural networklearns to recognise 40 characters (26 letters, 10 digits, and 4 special symbols) from a computer terminal.[14]",53,2662,7,storage\raw_html\ca8fa95c-7c47-4fcb-8738-1c539170e68f.html
https://en.wikipedia.org/wiki/machine_learning,machine learning - wikipedia,"tom m. mitchellprovided a widely quoted,[citation needed]more formal definition of the algorithms studied in the machine learning field: ""a computer program is said to learn from experienceewith respect to some class of taskstand performance measurepif its performance at tasks int, as measured byp,  improves with experiencee.""[15]this definition of the tasks in which machine learning is concerned is fundamentallyoperationalrather than defining the field in cognitive terms. this followsalan turing's proposal in his paper ""computing machinery and intelligence"", in which the question, ""can machines think?"", is replaced by asking whether machines can convincinglyimitate a humanin its responses to human-posed questions.[16][17]",53,2662,7,storage\raw_html\ca8fa95c-7c47-4fcb-8738-1c539170e68f.html
https://en.wikipedia.org/wiki/machine_learning,machine learning - wikipedia,in 2014ian goodfellowand others introducedgenerative adversarial networks(gans) which could produce realistic synthetic data.[18]by 2016alphagohad won against top human players ingousingreinforcement learningtechniques.[19],53,2662,7,storage\raw_html\ca8fa95c-7c47-4fcb-8738-1c539170e68f.html
https://en.wikipedia.org/wiki/machine_learning,machine learning - wikipedia,"as a scientific endeavour, machine learning grew out of the quest forartificial intelligence(ai). in the early days of ai as anacademic discipline, some researchers were interested in having machines learn from data. they attempted to approach the problem with various symbolic methods, as well as what were then termed ""neural networks""; these were mostlyperceptronsandother modelsthat were later found to be reinventions of thegeneralised linear modelsof statistics.[21]probabilistic reasoningwas also employed, especially inautomated medical diagnosis.[22]: 488",53,2662,7,storage\raw_html\ca8fa95c-7c47-4fcb-8738-1c539170e68f.html
https://en.wikipedia.org/wiki/machine_learning,machine learning - wikipedia,"however, an increasing emphasis on thelogical, knowledge-based approachcaused a rift between ai and machine learning. probabilistic systems were plagued by theoretical and practical problems of data acquisition and representation.[22]: 488by 1980,expert systemshad come to dominate ai, and statistics was out of favour.[23]work on symbolic/knowledge-based learning continued within ai, leading toinductive logic programming(ilp), but the more statistical line of research was now outside the field of ai proper, inpattern recognitionandinformation retrieval.[22]: 708–710, 755neural network research was abandoned by ai andcomputer sciencearound the same time. this subfield, termed ""connectionism"", was continued by researchers from other disciplines, includingjohn hopfield,david rumelhart, andgeoffrey hinton. their main success came in the mid-1980s with the reinvention ofbackpropagation.[22]: 25",53,2662,7,storage\raw_html\ca8fa95c-7c47-4fcb-8738-1c539170e68f.html
