url,title,paragraph,heading_count,link_count,table_count,html_source,url_day,url_month,url_year,title_day,title_month,title_year,paragraph_day,paragraph_month,paragraph_year,html_source_day,html_source_month,html_source_year
,,,21,74,0,,,,,,,,,,,,,
,,,21,74,0,,,,,,,,,,,,,
,,,21,74,0,,,,,,,,,,,,,
,,,21,74,0,,,,,,,,,,,,,
,,,21,74,0,,,,,,,,,,,,,
,,,21,74,0,,,,,,,,,,,,,
,,,21,74,0,,,,,,,,,,,,,
,,,21,74,0,,,,,,,,,,,,,
,,,21,74,0,,,,,,,,,,,,,
,,,21,74,0,,,,,,,,,,,,,
,,,21,74,0,,,,,,,,,,,,,
,,,21,74,0,,,,,,,,,,,,,
,,,21,74,0,,,,,,,,,,,,,
,,,21,74,0,,,,,,,,,,,,,
,,,21,74,0,,,,,,,,,,,,,
,,,21,74,0,,,,,,,,,,,,,
,,,21,74,0,,,,,,,,,,,,,
,,,21,74,0,,,,,,,,,,,,,
,,,21,74,0,,,,,,,,,,,,,
,,,21,74,0,,,,,,,,,,,,,
,,,21,74,0,,,,,,,,,,,,,
